名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
岳,長谷川,2016,45,1,1,公明,自民,現,〈元〉総務政務官・ＹＯＳＡＫＯＩソーラン祭り組織委役員▽北大,北海道,選挙区,648269,25.47,831.0,38.1,3,4.7,48.51485148514851
克弘,柿木,2016,48,0,0,公明,自民,新,党道副会長〈元〉道議・美唄市議・衆院議員秘書▽札幌大,北海道,選挙区,482688,18.96,831.0,38.1,3,4.7,48.51485148514851
エリ,徳永,2016,54,1,1,,民進,現,党道代表代行〈元〉ＴＶリポーター・映像制作会社長▽藤女子高,北海道,選挙区,559996,22.0,831.0,7.6,3,0.0,23.762376237623762
吉雄,鉢呂,2016,68,1,0,,民進,新,〈元〉経産相・民主党副代表・党国対委員長・大蔵政務次官▽北大,北海道,選挙区,491129,19.29,831.0,7.6,3,0.0,23.762376237623762
英士,森,2016,38,0,0,,共産,新,党道常任委員〈元〉赤旗記者・学童保育所指導員▽北海道東海大,北海道,選挙区,239564,9.41,831.0,3.2,3,0.0,3.9603960396039604
和夫,佐藤,2016,69,0,0,,こころ,新,動画情報サイトキャスター〈元〉陸上自衛官▽慶大,北海道,選挙区,34092,1.34,831.0,0.2,3,0.0,0.0
治,中村,2016,63,0,0,,諸派,新,支持政党なし役員・登記情報会社員〈元〉信販会社員▽札幌啓成高,北海道,選挙区,29072,1.14,831.0,0.0,3,0.0,0.0
佳則,森山,2016,49,0,0,,諸派,新,幸福実現党道副代表〈元〉新日鉄社員▽中大,北海道,選挙区,21006,0.83,831.0,0.0,3,0.0,0.0
佳宏,飯田,2016,43,0,0,,無所属,新,ベンチャー企業投資業・ＩＴ企業顧問〈元〉衆院議員秘書▽北海学園大　,北海道,選挙区,26686,1.05,831.0,0.0,3,0.0,15.841584158415841
寛陽,水越,2016,36,0,0,,無所属,新,僧侶▽駒沢大,北海道,選挙区,12944,0.51,831.0,0.0,3,0.0,15.841584158415841
匡代,田名部,2016,47,1,0,社民,民進,新,党県代表代行〈元〉衆院議員・農水政務官▽玉川学園女短大,青森,選挙区,302867,49.19,577.3,7.6,1,0.8,12.5
力,山崎,2016,69,0,2,公明,自民,現,医療法人理事〈元〉参院予算委員長・総務副大臣・読売新聞記者▽中大,青森,選挙区,294815,47.88,577.3,38.1,1,4.7,60.416666666666664
佑貴,三国,2016,31,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員▽日大,青森,選挙区,18071,2.93,577.3,0.0,1,0.0,0.0
英司,木戸口,2016,52,1,0,民進 / 共産 / 社民 / 生活,無所属,新,〈元〉知事秘書・県議・衆院議員秘書▽千葉大,岩手,選挙区,328555,53.34,463.8,0.0,1,0.0,29.166666666666668
真一,田中,2016,49,0,0,公明,自民,新,〈元〉慶大ラグビー部監督・参院議員秘書・神戸製鋼所社員▽慶大,岩手,選挙区,252767,41.04,463.8,38.1,1,4.7,27.083333333333332
幹子,石川,2016,51,0,0,,諸派,新,幸福実現党県副代表〈元〉栄養士▽東北女子短大,岩手,選挙区,34593,5.62,463.8,0.0,1,0.0,0.0
充,桜井,2016,60,1,3,共産 / 社民 / 生活,民進,現,医師〈元〉民主党政調会長・厚労副大臣・財務副大臣▽東北大院,宮城,選挙区,510450,51.1,304.9,7.6,1,0.0,8.47457627118644
大,熊谷,2016,41,0,0,公明 / こころ,自民,現,党青年局次長〈元〉松下政経塾生▽東北大院,宮城,選挙区,469268,46.98,304.9,38.1,1,0.0,45.76271186440678
哲史,油井,2016,36,0,0,,諸派,新,幸福実現党県副代表〈元〉広告会社員▽桜美林大,宮城,選挙区,19129,1.92,304.9,0.0,1,0.0,0.0
浩郎,石井,2016,52,1,1,公明,自民,現,参院文教科学委員長〈元〉近鉄バファローズ選手▽早大中退,秋田,選挙区,290052,53.94,448.7,38.1,1,4.7,62.7906976744186
大悟,松浦,2016,46,0,0,共産 / 社民,民進,前,党県代表〈元〉民主党副幹事長・秋田放送アナウンサー▽神戸学院大,秋田,選挙区,236521,43.99,448.7,7.6,1,0.0,4.651162790697675
晃,西野,2016,39,0,0,,諸派,新,幸福実現党県副代表〈元〉党道副代表▽国学院大,秋田,選挙区,11131,2.07,448.7,0.0,1,0.0,0.0
康江,舟山,2016,50,1,1,民進 / 社民,無所属,前,〈元〉燃料小売会社役員・みどりの風政調会長・農水省職員▽北大,山形,選挙区,344356,59.05,289.4,0.0,1,0.0,13.636363636363635
薫,月野,2016,61,0,0,公明,自民,新,〈元〉食品会社長・全農県副本部長・県経済連職員▽明学大,山形,選挙区,223583,38.34,289.4,38.1,1,4.7,68.18181818181817
良太,城取,2016,39,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉ＨＳ政経塾生▽成蹊大,山形,選挙区,15223,2.61,289.4,0.0,1,0.0,0.0
輝彦,増子,2016,68,1,2,社民,民進,現,参院国交委理事〈元〉党参院政審会長・経産副大臣・衆院議員・県議▽早大,福島,選挙区,462852,50.5,238.9,7.6,1,0.8,25.862068965517242
光英,岩城,2016,66,0,2,公明,自民,現,法相〈元〉党参院議員副会長・官房副長官・いわき市長▽上智大,福島,選挙区,432982,47.24,238.9,38.1,1,4.7,44.827586206896555
筆勝,矢内,2016,54,0,0,,諸派,新,幸福実現党総務会長〈元〉党首・朝日新聞記者▽早大院中退,福島,選挙区,20653,2.25,238.9,0.0,1,0.0,0.0
